mun_upp,Região de Planejamento,qtd_credenciados
FORTALEZA,Grande Fortaleza,1063
CAUCAIA,Grande Fortaleza,138
JUAZEIRO DO NORTE,Cariri,79
SOBRAL,Sertão de Sobral,76
MARACANAÚ,Grande Fortaleza,75
AQUIRAZ,Grande Fortaleza,48
CRATO,Cariri,45
MARANGUAPE,Grande Fortaleza,34
IGUATU,Centro Sul,33
CASCAVEL,Grande Fortaleza,28
EUSÉBIO,Grande Fortaleza,28
VIÇOSA DO CEARÁ,Serra da Ibiapaba,26
MOMBAÇA,Sertão Central,25
VÁRZEA ALEGRE,Cariri,24
ITAPIPOCA,Litoral Oeste / Vale do Curu,24
ITAREMA,Litoral Norte,23
PACATUBA,Grande Fortaleza,22
QUIXADÁ,Sertão Central,22
PARAIPABA,Grande Fortaleza,21
TIANGUÁ,Serra da Ibiapaba,20
ACARAÚ,Litoral Norte,20
TEJUÇUOCA,Litoral Oeste / Vale do Curu,20
QUIXERAMOBIM,Sertão Central,20
TABULEIRO DO NORTE,Vale do Jaguaribe,19
TRAIRI,Grande Fortaleza,19
SABOEIRO,Centro Sul,19
TAUÁ,Sertão dos Inhamuns,19
GRANJA,Litoral Norte,19
ICÓ,Centro Sul,19
AIUABA,Sertão dos Inhamuns,19
SÃO BENEDITO,Serra da Ibiapaba,18
CANINDÉ,Sertão de Canindé,18
ACOPIARA,Centro Sul,18
CARIDADE,Sertão de Canindé,17
ASSARÉ,Cariri,17
ITATIRA,Sertão de Canindé,17
SÃO GONÇALO DO AMARANTE,Grande Fortaleza,17
RUSSAS,Vale do Jaguaribe,17
ITAITINGA,Grande Fortaleza,17
CRATEÚS,Sertão dos Crateús,17
IPU,Serra da Ibiapaba,16
IPAPORANGA,Sertão dos Crateús,15
ITAPAJÉ,Litoral Oeste / Vale do Curu,15
ARACOIABA,Maciço de Baturité,15
IRACEMA,Vale do Jaguaribe,15
JAGUARUANA,Litoral Leste,15
MORADA NOVA,Vale do Jaguaribe,15
MILAGRES,Cariri,15
TAMBORIL,Sertão dos Crateús,15
SANTANA DO CARIRI,Cariri,15
HORIZONTE,Grande Fortaleza,14
GUARACIABA DO NORTE,Serra da Ibiapaba,14
AMONTADA,Litoral Oeste / Vale do Curu,14
BARBALHA,Cariri,14
JIJOCA DE JERICOACOARA,Litoral Norte,14
BATURITÉ,Maciço de Baturité,13
NOVA RUSSAS,Sertão dos Crateús,13
SANTA QUITÉRIA,Sertão dos Crateús,13
PEDRA BRANCA,Sertão Central,13
MAURITI,Cariri,13
CAMOCIM,Litoral Norte,13
CATARINA,Centro Sul,13
BREJO SANTO,Cariri,12
JUCÁS,Centro Sul,12
HIDROLÂNDIA,Sertão dos Crateús,12
IRAUÇUBA,Litoral Oeste / Vale do Curu,12
CEDRO,Centro Sul,12
ARACATI,Litoral Leste,12
ORÓS,Centro Sul,12
REDENÇÃO,Maciço de Baturité,12
MULUNGU,Maciço de Baturité,12
UMARI,Centro Sul,12
PIQUET CARNEIRO,Sertão Central,12
JAGUARIBE,Vale do Jaguaribe,12
BAIXIO,Centro Sul,11
AURORA,Cariri,11
ANTONINA DO NORTE,Cariri,11
POTIRETAMA,Vale do Jaguaribe,11
QUITERIANÓPOLIS,Sertão dos Inhamuns,11
SOLONÓPOLE,Sertão Central,11
TARRAFAS,Cariri,11
SANTANA DO ACARAÚ,Sertão de Sobral,11
RERIUTABA,Sertão de Sobral,11
CRUZ,Litoral Norte,11
BARREIRA,Maciço de Baturité,11
CARIRÉ,Sertão de Sobral,11
BEBERIBE,Litoral Leste,11
JAGUARIBARA,Vale do Jaguaribe,11
MILHÃ,Sertão Central,11
PARACURU,Grande Fortaleza,10
PARAMBU,Sertão dos Inhamuns,10
URUOCA,Litoral Norte,10
URUBURETAMA,Litoral Oeste / Vale do Curu,10
TURURU,Litoral Oeste / Vale do Curu,10
UMIRIM,Litoral Oeste / Vale do Curu,10
MISSÃO VELHA,Cariri,10
ARARENDÁ,Sertão dos Crateús,10
CAPISTRANO,Maciço de Baturité,10
COREAÚ,Sertão de Sobral,10
PORTEIRAS,Cariri,10
SENADOR SÁ,Sertão de Sobral,10
LAVRAS DA MANGABEIRA,Cariri,10
MARTINÓPOLE,Litoral Norte,10
LIMOEIRO DO NORTE,Vale do Jaguaribe,9
PACAJUS,Grande Fortaleza,9
ARNEIROZ,Sertão dos Inhamuns,9
BOA VIAGEM,Sertão de Canindé,9
CHOROZINHO,Grande Fortaleza,9
CARIÚS,Centro Sul,9
ARARIPE,Cariri,9
APUIARÉS,Litoral Oeste / Vale do Curu,9
CROATÁ,Serra da Ibiapaba,9
MERUOCA,Sertão de Sobral,9
SALITRE,Cariri,9
PARAMOTI,Sertão de Canindé,9
JAGUARETAMA,Vale do Jaguaribe,9
QUIXERÉ,Vale do Jaguaribe,9
JARDIM,Cariri,9
ALCÂNTARAS,Sertão de Sobral,8
CAMPOS SALES,Cariri,8
VARJOTA,Sertão de Sobral,8
GRAÇA,Sertão de Sobral,8
SÃO JOÃO DO JAGUARIBE,Vale do Jaguaribe,8
NOVA OLINDA,Cariri,8
PALMÁCIA,Maciço de Baturité,8
PEREIRO,Vale do Jaguaribe,8
IBARETAMA,Sertão Central,8
FORTIM,Litoral Leste,8
GUARAMIRANGA,Maciço de Baturité,8
OCARA,Maciço de Baturité,8
CHAVAL,Litoral Norte,8
BARRO,Cariri,7
ERERÊ,Vale do Jaguaribe,7
CARNAUBAL,Serra da Ibiapaba,7
ALTO SANTO,Vale do Jaguaribe,7
PALHANO,Vale do Jaguaribe,7
MUCAMBO,Sertão de Sobral,7
PENAFORTE,Cariri,7
QUIXELÔ,Centro Sul,7
PINDORETAMA,Grande Fortaleza,7
SENADOR POMPEU,Sertão Central,7
GENERAL SAMPAIO,Litoral Oeste / Vale do Curu,7
IBICUITINGA,Sertão Central,7
FORQUILHA,Sertão de Sobral,7
FARIAS BRITO,Cariri,7
ITAIÇABA,Litoral Leste,7
ABAIARA,Cariri,6
CARIRIAÇU,Cariri,6
BARROQUINHA,Litoral Norte,6
IBIAPINA,Serra da Ibiapaba,6
DEPUTADO IRAPUAN PINHEIRO,Sertão Central,6
SÃO LUÍS DO CURU,Grande Fortaleza,6
NOVO ORIENTE,Sertão dos Crateús,6
PORANGA,Sertão dos Crateús,6
IPAUMIRIM,Centro Sul,6
ITAPIÚNA,Maciço de Baturité,6
MONSENHOR TABOSA,Sertão dos Crateús,6
MASSAPÊ,Sertão de Sobral,6
PIRES FERREIRA,Sertão de Sobral,6
PACOTI,Maciço de Baturité,6
GRANJEIRO,Cariri,6
FRECHEIRINHA,Sertão de Sobral,6
MIRAÍMA,Litoral Oeste / Vale do Curu,6
BANABUIÚ,Sertão Central,5
ACARAPE,Maciço de Baturité,5
BELA CRUZ,Litoral Norte,5
CHORÓ,Sertão Central,5
PENTECOSTE,Litoral Oeste / Vale do Curu,5
POTENGI,Cariri,5
UBAJARA,Serra da Ibiapaba,5
INDEPENDÊNCIA,Sertão dos Crateús,5
JATI,Cariri,5
MORRINHOS,Litoral Norte,5
MARCO,Litoral Norte,5
MORAÚJO,Sertão de Sobral,5
ARATUBA,Maciço de Baturité,4
PACUJÁ,Sertão de Sobral,4
MADALENA,Sertão de Canindé,3
ALTANEIRA,Cariri,3
ICAPUÍ,Litoral Leste,3
CATUNDA,Sertão dos Crateús,2
IPUEIRAS,Sertão dos Crateús,2
GUAIÚBA,Grande Fortaleza,1
